x y z rgb
-85.679047 -169.38014 833.20636 4279244561
-85.199913 -169.22368 833.05078 4279244305
-84.704277 -169.31522 832.89789 4279375633
-84.229652 -169.1627 832.77051 4279507219
-83.736534 -169.2585 832.64349 4279507732
-83.264252 -169.10869 832.53339 4279573268
-82.774826 -169.21381 832.44421 4279573012
-82.306847 -169.07439 832.37457 4279573268
-81.821648 -169.18805 832.32568 4279573268
-81.358589 -169.05931 832.30566 4279441683
-80.878586 -169.18236 832.31311 4279178769
-80.418419 -169.05405 832.31659 4278981134
-79.942574 -169.18623 832.36865 4278915084
-79.482864 -169.05896 832.37463 4278717706
-79.004662 -169.18237 832.39874 4278651657
-78.547363 -169.06825 832.43469 4278651144
-78.068573 -169.18893 832.44818 4278585351
-77.606628 -169.06763 832.44708 4278519558
-77.128998 -169.19376 832.48718 4278453508
-73.034134 -171.70958 845.52051 4278321665
-71.876495 -171.07677 842.43628 4278387715
-71.274849 -170.94226 841.16223 4278387715
-70.778114 -170.71909 840.70685 4278453508
-70.230438 -170.70929 840.01562 4278453508
-69.722046 -170.46091 839.43378 4278453764
-69.182144 -170.46072 838.81653 4278519557
-68.682892 -170.23268 838.3255 4278585094
-68.156082 -170.26031 837.85699 4278585350
-67.662796 -170.04276 837.42444 4278716679
-67.146248 -170.09872 837.07043 4278716936
-66.658974 -169.89859 836.70294 4278716936
-66.147247 -169.96307 836.4024 4278717193
-65.667557 -169.77731 836.11768 4278848521
-65.159821 -169.85065 835.86371 4278848522
-64.686821 -169.67937 835.64972 4278848522
-64.183243 -169.76114 835.44623 4278783242
